"helys","hossz","szel","long","lat"
"Aba","18:31.49","47:02.06",18.5248333333333,47.0343333333333
"Abádszalók","20:35.94","47:28.48",20.599,47.4746666666667
"Abaliget","18:07.09","46:08.63",18.1181666666667,46.1438333333333
"Abasár","20:00.50","47:48.04",20.0083333333333,47.8006666666667
"Abaújalpár","21:14.14","48:18.37",21.2356666666667,48.3061666666667
"Abaújkér","21:12.08","48:18.47",21.2013333333333,48.3078333333333
"Abaújlak","20:57.45","48:24.35",20.9575,48.4058333333333
"Abaújszántó","21:11.18","48:16.74",21.1863333333333,48.279
"Abaújszolnok","20:58.63","48:22.35",20.9771666666667,48.3725
"Abaújvár","21:18.99","48:31.59",21.3165,48.5265
"Abda","17:32.65","47:41.79",17.5441666666667,47.6965
"Abod","20:47.65","48:23.60",20.7941666666667,48.3933333333333
"Abony","20:00.72","47:11.56",20.012,47.1926666666667
"Ábrahámhegy","17:34.36","46:48.96",17.5726666666667,46.816
"Ács","18:00.94","47:42.77",18.0156666666667,47.7128333333333
"Acsa","19:23.30","47:47.71",19.3883333333333,47.7951666666667
"Acsád","16:44.02","47:19.64",16.7336666666667,47.3273333333333
"Acsalag","17:11.99","47:40.52",17.1998333333333,47.6753333333333
"Ácsteszér","18:00.22","47:24.40",18.0036666666667,47.4066666666667
"Adács","19:58.99","47:41.53",19.9831666666667,47.6921666666667
"Ádánd","18:09.52","46:51.37",18.1586666666667,46.8561666666667
"Adásztevel","17:32.47","47:18.26",17.5411666666667,47.3043333333333
"Adony","18:51.87","47:07.38",18.8645,47.123
"Adorjánháza","17:14.47","47:14.45",17.2411666666667,47.2408333333333
"Adorjás","18:03.89","45:51.05",18.0648333333333,45.8508333333333
"Ág","18:12.28","46:17.75",18.2046666666667,46.2958333333333
"Ágasegyháza","19:27.22","46:50.43",19.4536666666667,46.8405
"Ágfalva","16:31.03","47:41.47",16.5171666666667,47.6911666666667
"Aggtelek","20:30.42","48:28.10",20.507,48.4683333333333
"Agyagosszergény","16:56.57","47:36.59",16.9428333333333,47.6098333333333
"Ajak","22:03.26","48:10.75",22.0543333333333,48.1791666666667
"Ajka","17:33.70","47:05.94",17.5616666666667,47.099
"Aka","18:04.29","47:24.28",18.0715,47.4046666666667
"Akasztó","19:12.39","46:41.50",19.2065,46.6916666666667
"Alacska","20:39.23","48:13.04",20.6538333333333,48.2173333333333
"Alap","18:41.35","46:48.47",18.6891666666667,46.8078333333333
"Alattyán","20:02.65","47:25.61",20.0441666666667,47.4268333333333
"Albertirsa","19:37.07","47:14.50",19.6178333333333,47.2416666666667
"Alcsútdoboz","18:36.25","47:25.69",18.6041666666667,47.4281666666667
"Aldebrõ","20:13.93","47:47.41",20.2321666666667,47.7901666666667
"Algyõ","20:12.42","46:20.11",20.207,46.3351666666667
"Alibánfa","16:55.39","46:53.05",16.9231666666667,46.8841666666667
"Almamellék","17:52.52","46:09.45",17.8753333333333,46.1575
"Almásfüzitõ","18:15.36","47:43.68",18.256,47.728
"Almásháza","17:02.99","46:50.61",17.0498333333333,46.8435
"Almáskamarás","21:05.41","46:27.72",21.0901666666667,46.462
"Almáskeresztúr","17:53.95","46:07.24",17.8991666666667,46.1206666666667
"Álmosd","21:58.81","47:24.90",21.9801666666667,47.415
"Alsóberecki","21:41.47","48:20.61",21.6911666666667,48.3435
"Alsóbogát","17:45.03","46:30.68",17.7505,46.5113333333333
"Alsódobsza","21:00.22","48:10.83",21.0036666666667,48.1805
"Alsógagy","21:01.46","48:24.40",21.0243333333333,48.4066666666667
"Alsómocsolád","18:15.00","46:18.84",18.25,46.314
"Alsónána","18:39.59","46:15.05",18.6598333333333,46.2508333333333
"Alsónémedi","19:09.72","47:18.89",19.162,47.3148333333333
"Alsónemesapáti","16:56.37","46:51.27",16.9395,46.8545
"Alsónyék","18:44.15","46:12.18",18.7358333333333,46.203
"Alsóörs","17:58.53","46:59.41",17.9755,46.9901666666667
"Alsópáhok","17:10.35","46:46.16",17.1725,46.7693333333333
"Alsópetény","19:14.79","47:52.47",19.2465,47.8745
"Alsórajk","16:59.94","46:39.32",16.999,46.6553333333333
"Alsóregmec","21:37.10","48:27.96",21.6183333333333,48.466
"Alsószenterzsébet","16:28.64","46:44.67",16.4773333333333,46.7445
"Alsószentiván","18:44.00","46:47.74",18.7333333333333,46.7956666666667
"Alsószentmárton","18:18.41","45:47.47",18.3068333333333,45.7911666666667
"Alsószölnök","16:12.13","46:55.69",16.2021666666667,46.9281666666667
"Alsószuha","20:30.32","48:22.42",20.5053333333333,48.3736666666667
"Alsótelekes","20:39.39","48:24.53",20.6565,48.4088333333333
"Alsótold","19:35.97","47:57.12",19.5995,47.952
"Alsóújlak","16:51.25","47:04.85",16.8541666666667,47.0808333333333
"Alsóvadász","20:54.41","48:14.38",20.9068333333333,48.2396666666667
"Alsózsolca","20:52.91","48:04.50",20.8818333333333,48.075
"Ambrózfalva","20:43.97","46:21.02",20.7328333333333,46.3503333333333
"Anarcs","22:06.51","48:10.64",22.1085,48.1773333333333
"Andocs","17:55.57","46:38.97",17.9261666666667,46.6495
"Andornaktálya","20:24.70","47:51.05",20.4116666666667,47.8508333333333
"Andrásfa","16:47.76","46:57.83",16.796,46.9638333333333
"Annavölgy","18:40.15","47:41.85",18.6691666666667,47.6975
"Apácatorna","17:17.76","47:06.74",17.296,47.1123333333333
"Apagy","21:56.15","47:57.48",21.9358333333333,47.958
"Apaj","19:05.42","47:06.70",19.0903333333333,47.1116666666667
"Aparhant","18:27.14","46:19.92",18.4523333333333,46.332
"Apátfalva","20:34.75","46:10.48",20.5791666666667,46.1746666666667
"Apátistvánfalva","16:15.33","46:53.82",16.2555,46.897
"Apátvarasd","18:28.95","46:11.19",18.4825,46.1865
"Apc","19:41.70","47:47.53",19.695,47.7921666666667
"Áporka","19:00.76","47:13.59",19.0126666666667,47.2265
"Apostag","18:57.87","46:53.01",18.9645,46.8835
"Aranyosapáti","22:10.95","48:16.29",22.1825,48.2715
"Aranyosgadány","18:07.31","46:00.42",18.1218333333333,46.007
"Arka","21:15.26","48:21.42",21.2543333333333,48.357
"Arló","20:15.45","48:10.63",20.2575,48.1771666666667
"Arnót","20:51.58","48:07.75",20.8596666666667,48.1291666666667
"Ároktõ","20:56.67","47:43.75",20.9445,47.7291666666667
"Árpádhalom","20:32.98","46:36.99",20.5496666666667,46.6165
"Árpás","17:23.86","47:30.74",17.3976666666667,47.5123333333333
"Ártánd","21:45.66","47:07.45",21.761,47.1241666666667
"Ásotthalom","19:47.07","46:11.94",19.7845,46.199
"Ásványráró","17:29.98","47:49.77",17.4996666666667,47.8295
"Aszaló","20:57.65","48:13.33",20.9608333333333,48.2221666666667
"Aszód","19:29.26","47:39.07",19.4876666666667,47.6511666666667
"Aszófõ","17:49.97","46:55.80",17.8328333333333,46.93
"Áta","18:17.98","45:56.19",18.2996666666667,45.9365
"Átány","20:21.80","47:36.97",20.3633333333333,47.6161666666667
"Atkár","19:53.49","47:43.12",19.8915,47.7186666666667
"Attala","18:04.05","46:22.66",18.0675,46.3776666666667
"Babarc","18:33.46","46:00.11",18.5576666666667,46.0018333333333
"Babarcszõlõs","18:08.29","45:53.97",18.1381666666667,45.8995
"Babócsa","17:20.68","46:02.20",17.3446666666667,46.0366666666667
"Bábolna","17:58.81","47:38.65",17.9801666666667,47.6441666666667
"Bábonymegyer","18:06.96","46:44.93",18.116,46.7488333333333
"Babosdöbréte","16:46.75","46:48.83",16.7791666666667,46.8138333333333
"Babót","17:04.78","47:34.52",17.0796666666667,47.5753333333333
"Bácsalmás","19:19.71","46:07.75",19.3285,46.1291666666667
"Bácsbokod","19:09.42","46:07.57",19.157,46.1261666666667
"Bácsborsód","19:09.49","46:05.85",19.1581666666667,46.0975
"Bácsszentgyörgy","19:02.49","45:58.56",19.0415,45.976
"Bácsszõlõs","19:25.43","46:08.12",19.4238333333333,46.1353333333333
"Badacsonytomaj","17:30.80","46:48.52",17.5133333333333,46.8086666666667
"Badacsonytördemic","17:28.44","46:48.64",17.474,46.8106666666667
"Bag","19:29.02","47:38.04",19.4836666666667,47.634
"Bagamér","21:59.62","47:27.00",21.9936666666667,47.45
"Baglad","16:29.18","46:40.85",16.4863333333333,46.6808333333333
"Bagod","16:45.11","46:52.71",16.7518333333333,46.8785
"Bágyogszovát","17:22.04","47:35.11",17.3673333333333,47.5851666666667
"Baj","18:21.95","47:38.95",18.3658333333333,47.6491666666667
"Baja","18:57.67","46:11.20",18.9611666666667,46.1866666666667
"Bajánsenye","16:23.15","46:48.10",16.3858333333333,46.8016666666667
"Bajna","18:35.62","47:38.95",18.5936666666667,47.6491666666667
"Bajót","18:33.21","47:43.39",18.5535,47.7231666666667
